time                    resolved-host                               origin-tag              http-status
2026-04-28T22:12:58Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:13:03Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:13:08Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:13:14Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:13:19Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:13:24Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:13:29Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:13:34Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:13:41Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:13:46Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  unknown                 curl-fail
2026-04-28T22:13:52Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:13:57Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  unknown                 curl-fail
2026-04-28T22:14:02Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:14:09Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:14:15Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  unknown                 curl-fail
2026-04-28T22:14:20Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:14:26Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:14:32Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:14:39Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:14:45Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:14:51Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:14:57Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:15:03Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  unknown                 curl-fail
2026-04-28T22:15:09Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:15:15Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:15:21Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:15:27Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:15:33Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:15:38Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:15:44Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:15:50Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:15:56Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  unknown                 curl-fail
2026-04-28T22:16:01Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:16:08Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:16:14Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:16:20Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:16:26Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  unknown                 curl-fail
2026-04-28T22:16:32Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  fallback-swa            200
2026-04-28T22:16:38Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:16:43Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  unknown                 curl-fail
2026-04-28T22:16:48Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:16:53Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net  unknown                 curl-fail
2026-04-28T22:16:59Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:04Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:09Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:14Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:20Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:25Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:30Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:35Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:41Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:46Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:51Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:17:56Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:18:02Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:18:07Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:18:12Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:18:17Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:18:22Z    jimpiquant.github.io                        primary-github-pages    200
2026-04-28T22:18:28Z    jimpiquant.github.io                        primary-github-pages    200
