time                    cname-target                                        tag
2026-04-28T18:26:36Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:26:41Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:26:46Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:26:51Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:26:56Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:01Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:06Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:27:12Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:17Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:22Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:27Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:32Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:37Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:42Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:47Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:52Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:27:57Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:02Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:07Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:12Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:18Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:23Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:28Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:33Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:38Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:43Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:48Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:53Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:28:58Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:29:03Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:29:08Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:29:14Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:29:19Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:29:24Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:29:29Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:29:34Z    publix-poc-ep-dpgrdzajc3gqbpe6.b02.azurefd.net.     fallback-afd
2026-04-28T18:29:39Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:29:44Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:29:49Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:29:54Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:29:59Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:04Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:09Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:15Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:20Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:25Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:30Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:35Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:40Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:45Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:50Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:30:55Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:31:00Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:31:05Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:31:11Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:31:16Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:31:21Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:31:26Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:31:31Z    jimpiquant.github.io.                               primary-github-pages
2026-04-28T18:31:36Z    jimpiquant.github.io.                               primary-github-pages
